startphrase,ending1,ending2,labels
Àyì̀nlá dá Àjàlá lọ́lá,Àyìnlá yan Àjàlá jẹ,Àyìnlá ṣe òtítọ́ sí Àjàlá,0
Àyìnlá fá Àjàlá lórí,Àyìnlá yan Àjàlá jẹ,Àyìnlá ṣe òtítọ́ sí Àjàlá,1
"Àkókò ń sáré tete, a ò sí lè dúró de ẹnì kankan",Kò sí àkókò,Ọ̀pọ̀ àkòkò ló wà,0
"Àkókò ń fà bí i ìgbín, a ò sí lè dúró de ẹnì kankan",Kò sí àkókò,Ọ̀pọ̀ àkòkò ló wà,1
Omi gàrí tí mo mu lánàá kan bí i omi ògì,Omi gàrí náà kan gan,Omi gàrí náà ta lẹ́nu,0
Omi gàrí tí mo mu lánàá korò bí i àgbo,Omi gàrí náà kan gan,Omi gàrí náà ta lẹ́nu,1
Délaní mọ ọfà ta bí i àwọn ògbójú ọdẹ tafàtafà,Délaní mọ ọfà ta dáadáa,Délaní ò rí ẹyẹ pa,0
Délaní ò mọ ọfà ta bí i àwọn ògbójú ọdẹ,Délaní mọ ọfà ta dáadáa,Délaní ò rí ẹyẹ pa,1
Iyán ti Ṣadé sè ti tutù bí i imú ajá nígbà tí mo fẹ́ jẹun,Iyán tí Ṣadé sè ti tutù gan,Iyán tí Ṣadé sè ń yọ eruku lálá,0
Iyán ti Ṣadé sè ti bàjẹ́,Iyán tí Ṣadé sè ti tutù gan,Iyán tí Ṣadé sè ń yọ eruku lálá,1
Olùjẹ́jọ́ ti gbọ́mọ ọbà f'ọ́ṣun nígbà tí ó ń ṣàlàyè ọ̀rọ̀ fún adájọ́,Olùjẹ́jọ́ ti ṣi ọ̀rọ̀ sọ fún adájọ́,Olùjẹ́jọ́ ti gbé adájọ́ lọ ilé ẹjọ́,0
Olùjẹ́jọ́ ti sọ ọ̀rọ̀ àìda sí adájọ́,Olùjẹ́jọ́ ti ṣi ọ̀rọ̀ sọ fún adájọ́,Olùjẹ́jọ́ ti gbé adájọ́ lọ ilé ẹjọ́,1
Ike omi ọgọ́rùn-ún ni Àdìsá pọn kó tó lọ sí ilé ìwé láàárọ̀ yìí,Àdìsá pọn omi púpọ̀,Omi díẹ̀ ni Àdìsá pọn,0
Ike omi kan ṣoṣo ni Àdìsá pọn kó tó lọ sí ilé ìwé láàárọ̀ yìí,Àdìsá pọn omi púpọ̀,Omi díẹ̀ ni Àdìsá pọn,1
Olùdíje náà sáré bí i atẹ́gùn,Olùdíje mọ eré sá gan,Olùdíje náà kò sáré ba ṣe fẹ́,0
Olùdíje náà sáré bí i ìgín,Olùdíje mọ eré sá gan,Olùdíje náà kò sáré ba ṣe fẹ́,1
Àpò náà wúwo bí i àpo tó kún fún òkúta ńlá,Àpò náà wúwo gan,Àpò náà fuyẹ́,0
Àpò náà kò wúwo rárá,Àpò náà wúwo gan,Àpò náà fuyẹ́,1
Àì̀ná yawọ́,Àìná ní ahun,Àìná máa ń fitọrọ,0
Àìná háwọ́,Àìná ní ahun,Àìná máa ń fitọrọ,1
